_id,_level,_date,_type,_object_id,_student,_code,_game_time,_game_progression,_duration,_execution_speed_multiplier,_error,_help_predicted_value,_help_prediction_confidence,_game_error_reason,_execution_speed_changed,_lost_level,_stopped_line,_extra_lines_number
6703a5b44c323c03dfa7ddb6,Level 8,2024-10-07T11:08:27.921+02:00,https://py-rates.org/xAPI/verbs/consulted,https://py-rates.org/xAPI/activities/contents/condi-2bran,BmfYK7Q,,PT151S,,PT4.316S,,,,,,,,,
6703a5b44c323c03dfa7ddb7,Level 8,2024-10-07T11:08:29.871+02:00,https://py-rates.org/xAPI/verbs/consulted,https://py-rates.org/xAPI/activities/contents/condi-3bran,BmfYK7Q,,PT154S,,PT5.3S,,,,,,,,,
6703a5b44c323c03dfa7ddb8,Level 8,2024-10-07T11:09:10.879+02:00,https://py-rates.org/xAPI/verbs/launched,https://py-rates.org/xAPI/activities/programs/level-completed,BmfYK7Q,avancer()\nwhile detecter_obstacle():\n	coup()\nfor i in range(3):\n	avancer()\ndroite()\nfor i in range(5):\n	avancer()\nwhile detecter_obstacle():\n	coup()\n	avancer()\nouvrir()\n,PT204S,,PT14.72S,3,,,,,,,,
6703a5b44c323c03dfa7ddb9,Level 8,2024-10-07T11:09:27.158+02:00,https://py-rates.org/xAPI/verbs/completed,https://py-rates.org/xAPI/activities/levels/level8,BmfYK7Q,,PT205S,,PT205S,,,,,,,,,
6703a5b44c323c03dfa7ddba,Level 8,2024-10-07T11:09:28.679+02:00,https://py-rates.org/xAPI/verbs/restarted,https://py-rates.org/xAPI/activities/levels/level8,BmfYK7Q,,,,,,,,,,,,,
6703a6b0456b8e03f1aba183,Level 3,2024-10-07T10:11:32.578+02:00,https://py-rates.org/xAPI/verbs/leaved,https://py-rates.org/xAPI/activities/levels/level3,XPnMMcz,,,,,,,,,,,,,
6703a6b0456b8e03f1aba184,Level 2,2024-10-07T10:11:32.737+02:00,https://py-rates.org/xAPI/verbs/restarted,https://py-rates.org/xAPI/activities/levels/level2,XPnMMcz,,,,,,,,,,,,,
6703a6cf456b8e03f1aba19c,Level 5,2024-10-07T11:02:57.343+02:00,https://py-rates.org/xAPI/verbs/asked,https://py-rates.org/xAPI/activities/help,GcmQWAa,,PT45S,,,,,,,,,,,
6703a6cf456b8e03f1aba19d,Level 5,2024-10-07T11:02:57.647+02:00,https://py-rates.org/xAPI/verbs/received,https://py-rates.org/xAPI/activities/helps/ask-teacher,GcmQWAa,,PT46S,,,,,1,0.46689587821475226,,,,,
6703a6cf456b8e03f1aba19e,Level 5,2024-10-07T11:04:09.795+02:00,https://py-rates.org/xAPI/verbs/leaved,https://py-rates.org/xAPI/activities/help,GcmQWAa,,PT88S,,,,,,,,,,,
6703a6cf456b8e03f1aba19f,Level 5,2024-10-07T11:04:28.255+02:00,https://py-rates.org/xAPI/verbs/asked,https://py-rates.org/xAPI/activities/help,GcmQWAa,,PT106S,,,,,,,,,,,
6703a6cf456b8e03f1aba1a0,Level 5,2024-10-07T11:04:28.595+02:00,https://py-rates.org/xAPI/verbs/received,https://py-rates.org/xAPI/activities/helps/ask-teacher,GcmQWAa,,PT106S,,,,,1,0.46689587821475226,,,,,
6703a6cf456b8e03f1aba1a1,Level 5,2024-10-07T11:04:30.245+02:00,https://py-rates.org/xAPI/verbs/leaved,https://py-rates.org/xAPI/activities/help,GcmQWAa,,PT108S,,,,,,,,,,,
